Temperature A;Temperature B;Luminescence;Year;Month;Day;Hour;Minute;Second

317;0;90;2016;4;7;16;30;4.9444
243;0;61;2016;4;7;16;30;5.2328
221;0;57;2016;4;7;16;30;5.5185
222;0;58;2016;4;7;16;30;5.8348
226;0;59;2016;4;7;16;30;6.1523
235;0;61;2016;4;7;16;30;6.4615
267;0;71;2016;4;7;16;30;7.0414
292;0;76;2016;4;7;16;30;7.6842
272;0;72;2016;4;7;16;30;8.288
292;0;76;2016;4;7;16;30;8.9107
84;152;0;2016;4;7;16;30;22.8628
62;124;0;2016;4;7;16;30;23.0945
45;96;0;2016;4;7;16;30;23.2905
52;106;0;2016;4;7;16;30;23.5094
82;152;0;2016;4;7;16;30;24.381
43;96;0;2016;4;7;16;30;24.662
0;115;162;2016;4;7;16;30;28.5825
0;72;107;2016;4;7;16;30;28.7921
0;54;87;2016;4;7;16;30;28.9896
0;65;96;2016;4;7;16;30;29.206
0;101;151;2016;4;7;16;30;47.3589
0;80;117;2016;4;7;16;30;47.6092
0;60;92;2016;4;7;16;30;47.8128
0;109;157;2016;4;7;16;32;12.239
0;62;98;2016;4;7;16;32;12.3948
0;61;93;2016;4;7;16;32;12.5389
0;57;87;2016;4;7;16;32;12.7347
0;47;76;2016;4;7;16;32;12.8745
0;57;88;2016;4;7;16;32;13.0949
0;49;77;2016;4;7;16;32;13.2327
0;68;101;2016;4;7;16;32;13.4574
0;45;72;2016;4;7;16;32;13.5748
322;0;93;2016;4;7;16;32;16.9404
209;0;50;2016;4;7;16;32;17.0835
190;0;46;2016;4;7;16;32;17.2354
176;0;43;2016;4;7;16;32;17.3432
168;0;42;2016;4;7;16;32;17.4858
174;0;42;2016;4;7;16;32;17.6055
179;0;44;2016;4;7;16;32;17.7559
176;0;45;2016;4;7;16;32;17.8842
169;0;46;2016;4;7;16;32;18.0817
156;0;40;2016;4;7;16;32;18.193
171;0;45;2016;4;7;16;32;18.385
78;136;0;2016;4;7;16;32;21.433
45;97;0;2016;4;7;16;32;21.5762
49;98;0;2016;4;7;16;32;21.7026
24;61;0;2016;4;7;16;32;21.8354
27;64;0;2016;4;7;16;32;21.9741
50;98;0;2016;4;7;16;32;22.1054
48;96;0;2016;4;7;16;32;22.2874
26;62;0;2016;4;7;16;32;22.3976
28;66;0;2016;4;7;16;32;22.5349
50;98;0;2016;4;7;16;32;22.6849
48;96;0;2016;4;7;16;32;22.8328
35;78;0;2016;4;7;16;32;22.9808
39;81;0;2016;4;7;16;32;23.1127
46;94;0;2016;4;7;16;32;23.2996
16;48;0;2016;4;7;16;32;23.3791
